,cultivar,Z1,Z2
348,C319,-0.7107874,2.543249
349,C319,-0.23791441,0.82141435
350,C319,-0.38937822,2.2922196
351,C319,-0.3636988,-0.41208702
352,C319,-0.5048949,1.1137806
353,C319,0.064454116,0.3199896
354,C319,-0.52896094,2.0736945
355,C319,-0.1663512,-0.1003406
356,C319,-0.11459986,0.29019463
357,C319,0.18026106,0.04448064
358,C319,-0.18119,-0.06974099
359,C319,-0.3454057,-0.36568
360,C319,-0.5722335,2.3605294
361,C319,-1.3948035,2.2468479
362,C319,-0.24586627,0.04509477
363,C319,0.07043022,-0.48750648
364,C319,-0.7291952,1.8031507
365,C319,-0.25687212,-0.16357407
366,C319,-0.62870055,1.9138767
367,C319,-0.008245826,1.9813247
368,C319,-0.39594316,2.8654835
369,C319,0.3561882,1.8678342
370,C319,0.38469574,-0.08879512
371,C319,-1.4262474,-0.12057427
372,C319,0.04642655,-0.17762679
373,C319,-0.18682803,3.1886072
374,C319,-1.2488722,2.8686128
375,C319,0.3321974,0.017615663
376,C319,-0.5483548,2.7303286
377,C319,-0.2401593,2.7908623
378,C319,-2.4908888,3.2473946
379,C319,-0.22778708,0.35969836
380,C319,-0.49701193,2.257298
381,C319,-0.14436114,-0.07745362
382,C319,-0.3009061,2.0655026
383,C319,-1.8537948,3.8299255
384,C319,-0.29654422,-0.009087721
385,C319,0.458876,-0.33498603
386,C319,-0.36137173,2.084094
387,C319,0.2855103,0.15156588
388,C319,-0.17329197,2.282663
389,C319,-1.3184731,3.265101
390,C319,-0.048810333,0.7488372
391,C319,0.021709867,4.0347624
392,C319,-0.971725,3.6652637
393,C319,0.022074021,2.4179683
394,C319,0.290426,3.4051614
395,C319,2.5518265,2.004426
396,C319,-0.6587979,2.8521447
397,C319,1.3658423,-3.19841
398,C319,0.6803811,-1.3325561
399,C319,-0.6100616,2.0597668
400,C319,-0.69277626,2.2325597
401,C319,-2.4711187,2.280598
402,C319,0.17261748,2.778864
403,C319,0.14609358,3.476478
404,C319,-1.2111437,2.4981203
405,C319,-0.31275973,0.22639258
406,C319,-0.67876434,2.9293056
407,C319,-0.7618725,-0.6118293
408,C319,0.40465775,-0.43302923
409,C319,-0.6680874,2.2276964
410,C319,0.20226999,-0.9452213
411,C319,-0.42979547,0.28995427
412,C319,-0.15380631,-0.75205266
413,C319,-0.36557972,2.087807
414,C319,-0.2424098,2.0442047
415,C319,0.026665103,0.37674868
416,C319,-0.3046542,2.2959437
417,C319,-0.17396605,0.003179744
418,C319,-0.36121482,1.6845381
419,C319,2.7757263,0.78138363
420,C319,-0.7390807,2.8671658
421,C319,-0.43345982,2.9403553
422,C319,0.07451653,2.0031292
423,C319,-0.2575212,1.9073927
424,C319,0.079184934,-2.3615532
425,C319,-0.28610525,2.0203125
426,C319,-0.22076121,0.16318662
427,C319,-0.39467996,0.44074747
428,C319,-0.52835184,-0.24268654
429,C319,-0.96132976,1.7558846
430,C319,-0.42059752,-0.2987224
431,C319,0.44190553,2.374781
432,C319,-0.52744555,2.4483488
433,C319,-0.0768273,0.46725464
434,C319,-0.45374075,0.6487348
435,C319,0.00929885,0.31709224
436,C319,-0.21755813,1.6472173
437,C319,-0.19812806,2.01894
438,C319,-1.2063588,2.7880704
439,C319,-0.22630492,1.9303489
440,C319,-0.99846596,2.48927
441,C319,-0.07513084,0.45649529
442,C319,-0.47647515,-0.40873498
443,C319,-0.91482323,2.298469
444,C319,0.14550065,-0.25839946
445,C319,-0.10579043,-0.63063604
446,C319,0.104613535,2.5228262
447,C319,-0.5024254,1.7847106
448,C319,-0.27155364,1.6943046
449,C319,0.20380831,3.1098628
450,C319,-0.080727816,1.9684533
451,C319,-0.27955297,0.30449933
452,C319,-0.27442288,0.21748668
453,C319,0.9170064,3.5657299
454,C319,-1.4672776,0.6061717
455,C319,-0.33900174,2.510432
456,C319,-0.03647168,3.172684
457,C319,-2.2250488,3.3232746
458,C319,-0.9432742,3.6762967
459,C319,0.10287061,2.9698405
460,C319,0.3347874,0.12634125
461,C319,-0.40527007,0.87721103
462,C319,-0.80789506,1.8159249
463,C319,-1.0414224,1.2863942
